watershed,year,month,flow,diversion,prop_diversion,avg_temp
Upper Sacramento River,1921,10,6978.5805664063,212.1407666537,0.0303988418,NA
Upper Sacramento River,1921,11,5529.3798828125,62.9915906555,0.0113921619,9.8260185185
Upper Sacramento River,1921,12,4811.6088867188,46.9013724575,0.0097475446,9.7198476703
Upper Sacramento River,1922,1,5152.908203125,72.8352219371,0.0141347796,7.8748207885
Upper Sacramento River,1922,2,7555.2763671875,41.3249484766,0.0054696806,9.0768849206
Upper Sacramento River,1922,3,5000.65625,85.663011886,0.017130354,13.4136200717
Upper Sacramento River,1922,4,5323.47265625,47.1806726135,0.0088627623,15.7336111111
Upper Sacramento River,1922,5,12765.205078125,725.6710858779,0.0568475854,16.4362903226
Upper Sacramento River,1922,6,16092.0791015625,1387.7006879841,0.0862350153,15.9010185185
Upper Sacramento River,1922,7,14720.5146484375,1050.9882609968,0.0713961628,16.0840949821
Upper Sacramento River,1922,8,8570.3876953125,755.1498929102,0.0881115207,18.4298835125
Upper Sacramento River,1922,9,5729.0454101563,208.0442064443,0.0363139392,17.4973611111
Upper Sacramento River,1922,10,5377.544921875,164.9389564762,0.0306717952,15.4526433692
Upper Sacramento River,1922,11,8270.41796875,36.0073043391,0.0043537466,11.8984259259
Upper Sacramento River,1922,12,7007.3818359375,28.757801871,0.0041039296,8.819937276
Upper Sacramento River,1923,1,7205.904296875,28.9728425541,0.0040207088,7.9673835125
Upper Sacramento River,1923,2,42924.3046875,27.7663429431,0.0006468676,8.0184027778
Upper Sacramento River,1923,3,13524.9267578125,37.1101220966,0.0027438316,10.2899641577
Upper Sacramento River,1923,4,5947.4204101563,146.5617381944,0.0246429087,13.8678703704
Upper Sacramento River,1923,5,14270.771484375,1138.5203992553,0.0797798774,14.5831989247
Upper Sacramento River,1923,6,14007.9453125,2366.3783053197,0.1689311496,15.2955555556
Upper Sacramento River,1923,7,14949.6142578125,1751.6626478416,0.1171710934,15.921953405
Upper Sacramento River,1923,8,10552.525390625,1250.2863389019,0.118482192,16.0953853047
Upper Sacramento River,1923,9,6537.0678710938,337.5855658299,0.051641741,16.3328240741
Upper Sacramento River,1923,10,6802.3452148438,305.9564129725,0.0449780779,13.3458781362
Upper Sacramento River,1923,11,5133.5673828125,43.9352482252,0.0085584244,10.7408796296
Upper Sacramento River,1923,12,6147.185546875,37.107628381,0.0060365232,8.1176971326
Upper Sacramento River,1924,1,5669.6606445313,38.3939896505,0.006771832,7.5520609319
Upper Sacramento River,1924,2,5507.33984375,38.9943565497,0.007080434,9.3582375479
Upper Sacramento River,1924,3,17732.830078125,80.6081121924,0.0045456992,10.2687724014
Upper Sacramento River,1924,4,8647.2890625,52.3920166672,0.0060587794,13.3959259259
Upper Sacramento River,1924,5,13883.0634765625,917.2167394445,0.0660673158,15.0886200717
Upper Sacramento River,1924,6,14794.8310546875,1490.3782159026,0.1007364133,16.342962963
Upper Sacramento River,1924,7,17696.048828125,1164.508353397,0.0658061223,15.4061379928
Upper Sacramento River,1924,8,9631.17578125,896.8613700929,0.0931206522,17.4841397849
Upper Sacramento River,1924,9,5626.359375,355.7202371394,0.0632238742,17.7284259259
Upper Sacramento River,1924,10,6757.6806640625,134.7170939234,0.019935404,14.5004480287
Upper Sacramento River,1924,11,4774.5083007813,32.1293938259,0.0067293618,11.4617592593
Upper Sacramento River,1924,12,4683.5473632813,30.1624859479,0.0064400941,8.5422491039
Upper Sacramento River,1925,1,4943.6459960938,34.0826747557,0.0068942385,7.5802419355
Upper Sacramento River,1925,2,4868.1381835938,32.3342460887,0.0066420148,9.2322916667
Upper Sacramento River,1925,3,5992.6342773438,68.6349134965,0.0114532124,11.7371863799
Upper Sacramento River,1925,4,7077.3100585938,84.8833980907,0.0119937374,13.474537037
Upper Sacramento River,1925,5,7634.255859375,438.4544460626,0.0574325061,16.4668010753
Upper Sacramento River,1925,6,13767.119140625,686.9430398927,0.0498973702,17.2828703704
Upper Sacramento River,1925,7,11840.7529296875,653.1548942616,0.0551616015,18.9285394265
Upper Sacramento River,1925,8,9579.0009765625,585.9934337152,0.0611747963,17.6903225806
Upper Sacramento River,1925,9,5719.912109375,254.6994311884,0.0445285568,17.9256018519
Upper Sacramento River,1925,10,6861.6264648438,68.0322902746,0.0099148927,14.4854390681
Upper Sacramento River,1925,11,6586.6455078125,119.0187550163,0.0180697071,13.1643981481
Upper Sacramento River,1925,12,6035.6186523438,24.2322363333,0.004014872,9.1644265233
Upper Sacramento River,1926,1,7547.7172851563,24.2322363333,0.0032105384,7.7527329749
Upper Sacramento River,1926,2,7787.6459960938,24.2321685636,0.0031116166,10.159077381
Upper Sacramento River,1926,3,6070.505859375,26.979515088,0.0044443603,12.011827957
Upper Sacramento River,1926,4,5229.4291992188,83.3222791213,0.0159333411,15.0872222222
Upper Sacramento River,1926,5,9307.0107421875,443.6248331435,0.0476656625,15.7654569892
Upper Sacramento River,1926,6,12387.8427734375,834.6226806673,0.0673743359,17.9508796296
Upper Sacramento River,1926,7,11544.677734375,685.2308414043,0.0593546964,18.8105286738
Upper Sacramento River,1926,8,8350.041015625,534.6452845316,0.0640290609,18.2372311828
Upper Sacramento River,1926,9,5095.7905273438,187.2036263062,0.0367369156,18.0116203704
Upper Sacramento River,1926,10,4966.4272460938,145.4867891104,0.0292940542,15.5117831541
Upper Sacramento River,1926,11,3876.6496582031,40.38901727,0.0104185368,13.1101851852
Upper Sacramento River,1926,12,3741.8491210938,33.6127084803,0.0089829139,9.8012096774
Upper Sacramento River,1927,1,5078.5209960938,25.933300329,0.0051064671,8.2029121864
Upper Sacramento River,1927,2,4475.869140625,26.9931082073,0.0060308082,9.6919642857
Upper Sacramento River,1927,3,4600.1694335938,106.951727859,0.0232495193,12.5884408602
Upper Sacramento River,1927,4,5859.0771484375,153.8988040249,0.0262667311,16.0260185185
Upper Sacramento River,1927,5,7061.0170898438,288.7950721344,0.0408999254,18.2806451613
Upper Sacramento River,1927,6,8126.4814453125,546.0224054798,0.0671905066,18.3871759259
Upper Sacramento River,1927,7,12572.0751953125,650.6063081755,0.0517501127,19.4822580645
Upper Sacramento River,1927,8,9363.2841796875,454.3606816543,0.0485257814,20.4996415771
Upper Sacramento River,1927,9,4155.7763671875,165.5178748753,0.0398283883,20.8147222222
Upper Sacramento River,1927,10,7183.8857421875,103.6885024934,0.0144334844,15.441218638
Upper Sacramento River,1927,11,4488.5151367188,28.0437234391,0.0062478843,11.4094907407
Upper Sacramento River,1927,12,6512.9047851563,21.6137142472,0.0033185982,7.7294802867
Upper Sacramento River,1928,1,7350.7036132813,22.282482246,0.00303134,6.714874552
Upper Sacramento River,1928,2,5471.3588867188,22.1595031353,0.0040500913,8.0595306513
Upper Sacramento River,1928,3,4621.7724609375,71.4702444046,0.0154638172,11.8951612903
Upper Sacramento River,1928,4,4614.9223632813,84.848176777,0.018385613,14.11
Upper Sacramento River,1928,5,6879.0483398438,358.5016270803,0.0521150033,16.2344982079
Upper Sacramento River,1928,6,11690.51171875,726.6938373822,0.0621609947,17.1128240741
Upper Sacramento River,1928,7,11385.548828125,637.182295299,0.0559641265,19.3988799283
Upper Sacramento River,1928,8,6010.9653320313,0,0,22.7913530466
Upper Sacramento River,1928,9,4743.6440429688,0,0,21.8547685185
Upper Sacramento River,1928,10,3846.6962890625,0,0,16.8012544803
Upper Sacramento River,1928,11,4180.87890625,0,0,12.5497222222
Upper Sacramento River,1928,12,4065.5869140625,25.849584672,0.0063581434,7.9787634409
Upper Sacramento River,1929,1,4784.5541992188,28.7544357185,0.0060098464,7.4134408602
Upper Sacramento River,1929,2,4565.4599609375,27.5220096438,0.0060283104,8.1537698413
Upper Sacramento River,1929,3,5812.650390625,25.7002384913,0.004421432,11.5916666667
Upper Sacramento River,1929,4,7192.4165039063,165.6138865618,0.0230261813,13.862037037
Upper Sacramento River,1929,5,8348.10546875,253.3077084549,0.0303431371,15.6735663082
Upper Sacramento River,1929,6,9151.1953125,286.1401001819,0.0312680574,18.9906018519
